ImageId,ClassId,EncodedPixels,ImageId_ClassId
small106.jpg,1,3858 3 3865 2 3949 7 3957 8 3966 3 4047 4 4052 9 4067 3 4146 1 4168 2 4246 1 4268 3 4346 1 4369 2 4446 1 4469 2 4546 1 4569 2 4646 2 4669 2 4746 2 4769 2 4846 2 4869 2 4947 1 4969 1 5047 2 5069 2 5147 2 5169 1 5247 2 5268 2 5347 3 5368 2 5447 3 5468 2 5546 4 5567 2 5646 6 5653 9 5663 5 5746 22 5846 22 5946 12 5959 8 6046 6 6054 1 6056 1 6146 4 13858 3 13865 2 13949 7 13957 8 13966 3 14047 4 14052 9 14067 3 14146 1 14168 2 14246 1 14268 3 14346 1 14369 2 14446 1 14469 2 14546 1 14569 2 14646 2 14669 2 14746 2 14769 2 14846 2 14869 2 14947 1 14969 1 15047 2 15069 2 15147 2 15169 1 15247 2 15268 2 15347 3 15368 2 15447 3 15468 2 15546 4 15567 2 15646 6 15653 9 15663 5 15746 22 15846 22 15946 12 15959 8 16046 6 16054 1 16056 1 16146 4 23858 3 23865 2 23949 7 23957 8 23966 3 24047 4 24052 9 24067 3 24146 1 24168 2 24246 1 24268 3 24346 1 24369 2 24446 1 24469 2 24546 1 24569 2 24646 2 24669 2 24746 2 24769 2 24846 2 24869 2 24947 1 24969 1 25047 2 25069 2 25147 2 25169 1 25247 2 25268 2 25347 3 25368 2 25447 3 25468 2 25546 4 25567 2 25646 6 25653 9 25663 5 25746 22 25846 22 25946 12 25959 8 26046 6 26054 1 26056 1 26146 4,small106.jpg_1
small107.jpg,1,3649 2 3661 7 3744 2 3748 9 3758 1 3760 2 3767 2 3844 3 3869 2 3943 1 3970 2 4070 2 4171 2 4271 1 4371 1 4444 1 4471 2 4545 1 4572 1 4672 1 4746 1 4771 2 4846 1 4871 1 4946 1 4971 2 5046 1 5071 1 5146 1 5171 1 5246 1 5271 1 5346 1 5370 2 5445 2 5470 2 5545 2 5570 2 5645 2 5669 2 5745 1 5769 2 5845 1 5869 1 5944 1 5968 2 6044 1 6067 3 6144 1 6153 1 6155 1 6244 1 6250 11 6344 6 6445 2 13649 2 13661 7 13744 2 13748 9 13758 1 13760 2 13767 2 13844 3 13869 2 13943 1 13970 2 14070 2 14171 2 14271 1 14371 1 14444 1 14471 2 14545 1 14572 1 14672 1 14746 1 14771 2 14846 1 14871 1 14946 1 14971 2 15046 1 15071 1 15146 1 15171 1 15246 1 15271 1 15346 1 15370 2 15445 2 15470 2 15545 2 15570 2 15645 2 15669 2 15745 1 15769 2 15845 1 15869 1 15944 1 15968 2 16044 1 16067 3 16144 1 16153 1 16155 1 16244 1 16250 11 16344 6 16445 2 23649 2 23661 7 23744 2 23748 9 23758 1 23760 2 23767 2 23844 3 23869 2 23943 1 23970 2 24070 2 24171 2 24271 1 24371 1 24444 1 24471 2 24545 1 24572 1 24672 1 24746 1 24771 2 24846 1 24871 1 24946 1 24971 2 25046 1 25071 1 25146 1 25171 1 25246 1 25271 1 25346 1 25370 2 25445 2 25470 2 25545 2 25570 2 25645 2 25669 2 25745 1 25769 2 25845 1 25869 1 25944 1 25968 2 26044 1 26067 3 26144 1 26153 1 26155 1 26244 1 26250 11 26344 6 26445 2,small107.jpg_1
small107.jpg,2,5562 3 5661 5 5760 7 5859 9 5959 9 6059 8 6160 6 6263 2 15562 3 15661 5 15760 7 15859 9 15959 9 16059 8 16160 6 16263 2 25562 3 25661 5 25760 7 25859 9 25959 9 26059 8 26160 6 26263 2,small107.jpg_2
small108.jpg,1,3547 1 3549 3 3554 1 3560 9 3645 4 3651 4 3656 4 3668 3 3741 1 3770 2 3840 1 3871 2 3940 1 3972 1 4072 1 4141 1 4172 2 4242 1 4273 1 4342 1 4373 1 4443 1 4473 1 4543 1 4573 1 4644 2 4673 1 4745 1 4773 1 4845 1 4873 1 4945 1 4973 1 5045 1 5073 1 5145 1 5173 1 5245 1 5272 2 5345 1 5372 1 5445 1 5472 1 5545 1 5572 1 5645 1 5672 1 5744 1 5843 2 5871 1 5943 1 6042 2 6070 1 6142 1 6169 1 6242 1 6267 2 6342 1 6356 3 6442 1 6450 7 6543 1 6548 3 6647 1 13547 1 13549 3 13554 1 13560 9 13645 4 13651 4 13656 4 13668 3 13741 1 13770 2 13840 1 13871 2 13940 1 13972 1 14072 1 14141 1 14172 2 14242 1 14273 1 14342 1 14373 1 14443 1 14473 1 14543 1 14573 1 14644 2 14673 1 14745 1 14773 1 14845 1 14873 1 14945 1 14973 1 15045 1 15073 1 15145 1 15173 1 15245 1 15272 2 15345 1 15372 1 15445 1 15472 1 15545 1 15572 1 15645 1 15672 1 15744 1 15843 2 15871 1 15943 1 16042 2 16070 1 16142 1 16169 1 16242 1 16267 2 16342 1 16356 3 16442 1 16450 7 16543 1 16548 3 16647 1 23547 1 23549 3 23554 1 23560 9 23645 4 23651 4 23656 4 23668 3 23741 1 23770 2 23840 1 23871 2 23940 1 23972 1 24072 1 24141 1 24172 2 24242 1 24273 1 24342 1 24373 1 24443 1 24473 1 24543 1 24573 1 24644 2 24673 1 24745 1 24773 1 24845 1 24873 1 24945 1 24973 1 25045 1 25073 1 25145 1 25173 1 25245 1 25272 2 25345 1 25372 1 25445 1 25472 1 25545 1 25572 1 25645 1 25672 1 25744 1 25843 2 25871 1 25943 1 26042 2 26070 1 26142 1 26169 1 26242 1 26267 2 26342 1 26356 3 26442 1 26450 7 26543 1 26548 3 26647 1,small108.jpg_1
small108.jpg,2,5561 5 5660 7 5760 7 5860 7 5959 9 6060 7 6159 8 6259 8 6359 8 6459 3 6463 1 15561 5 15660 7 15760 7 15860 7 15959 9 16060 7 16159 8 16259 8 16359 8 16459 3 16463 1 25561 5 25660 7 25760 7 25860 7 25959 9 26060 7 26159 8 26259 8 26359 8 26459 3 26463 1,small108.jpg_2
small109.jpg,1,3458 8 3541 3 3547 13 3567 4 3640 1 3671 2 3739 1 3772 2 3873 1 3974 1 4074 1 4140 1 4174 1 4240 2 4274 2 4341 1 4374 2 4442 1 4474 1 4542 1 4574 1 4643 1 4674 1 4774 1 4844 1 4874 2 4944 1 4974 1 5044 1 5074 1 5144 1 5174 1 5244 1 5274 1 5344 1 5374 1 5444 1 5474 1 5544 1 5673 1 5743 1 5773 1 5872 1 5972 1 6042 1 6241 1 6269 1 6367 2 6541 1 6552 1 6554 4 6642 1 6649 2 6744 5 13458 8 13541 3 13547 13 13567 4 13640 1 13671 2 13739 1 13772 2 13873 1 13974 1 14074 1 14140 1 14174 1 14240 2 14274 2 14341 1 14374 2 14442 1 14474 1 14542 1 14574 1 14643 1 14674 1 14774 1 14844 1 14874 2 14944 1 14974 1 15044 1 15074 1 15144 1 15174 1 15244 1 15274 1 15344 1 15374 1 15444 1 15474 1 15544 1 15673 1 15743 1 15773 1 15872 1 15972 1 16042 1 16241 1 16269 1 16367 2 16541 1 16552 1 16554 4 16642 1 16649 2 16744 5 23458 8 23541 3 23547 13 23567 4 23640 1 23671 2 23739 1 23772 2 23873 1 23974 1 24074 1 24140 1 24174 1 24240 2 24274 2 24341 1 24374 2 24442 1 24474 1 24542 1 24574 1 24643 1 24674 1 24774 1 24844 1 24874 2 24944 1 24974 1 25044 1 25074 1 25144 1 25174 1 25244 1 25274 1 25344 1 25374 1 25444 1 25474 1 25544 1 25673 1 25743 1 25773 1 25872 1 25972 1 26042 1 26241 1 26269 1 26367 2 26541 1 26552 1 26554 4 26642 1 26649 2 26744 5,small109.jpg_1
small109.jpg,2,5561 6 5660 7 5760 8 5860 8 5960 8 6060 8 6159 8 6259 6 6359 8 6458 8 6558 7 15561 6 15660 7 15760 8 15860 8 15960 8 16060 8 16159 8 16259 6 16359 8 16458 8 16558 7 25561 6 25660 7 25760 8 25860 8 25960 8 26060 8 26159 8 26259 6 26359 8 26458 8 26558 7,small109.jpg_2
small110.jpg,1,3342 4 3440 2 3446 16 3464 7 3539 1 3571 2 3638 1 3673 1 3774 1 3874 2 3975 1 4038 1 4075 1 4139 1 4175 1 4275 1 4340 1 4375 2 4440 1 4475 2 4539 3 4575 2 4639 4 4675 2 4739 4 4775 2 4839 3 4875 2 4939 3 4975 2 5039 3 5075 2 5139 3 5175 1 5239 4 5275 1 5339 4 5375 1 5439 4 5475 1 5539 4 5575 1 5640 3 5674 1 5740 3 5774 1 5840 2 5874 1 5940 2 5973 1 6040 1 6073 1 6140 1 6172 1 6239 1 6271 1 6339 1 6370 1 6439 1 6467 2 6640 1 6653 4 6740 1 6750 2 6842 1 13342 4 13440 2 13446 16 13464 7 13539 1 13571 2 13638 1 13673 1 13774 1 13874 2 13975 1 14038 1 14075 1 14139 1 14175 1 14275 1 14340 1 14375 2 14440 1 14475 2 14539 3 14575 2 14639 4 14675 2 14739 4 14775 2 14839 3 14875 2 14939 3 14975 2 15039 3 15075 2 15139 3 15175 1 15239 4 15275 1 15339 4 15375 1 15439 4 15475 1 15539 4 15575 1 15640 3 15674 1 15740 3 15774 1 15840 2 15874 1 15940 2 15973 1 16040 1 16073 1 16140 1 16172 1 16239 1 16271 1 16339 1 16370 1 16439 1 16467 2 16640 1 16653 4 16740 1 16750 2 16842 1 23342 4 23440 2 23446 16 23464 7 23539 1 23571 2 23638 1 23673 1 23774 1 23874 2 23975 1 24038 1 24075 1 24139 1 24175 1 24275 1 24340 1 24375 2 24440 1 24475 2 24539 3 24575 2 24639 4 24675 2 24739 4 24775 2 24839 3 24875 2 24939 3 24975 2 25039 3 25075 2 25139 3 25175 1 25239 4 25275 1 25339 4 25375 1 25439 4 25475 1 25539 4 25575 1 25640 3 25674 1 25740 3 25774 1 25840 2 25874 1 25940 2 25973 1 26040 1 26073 1 26140 1 26172 1 26239 1 26271 1 26339 1 26370 1 26439 1 26467 2 26640 1 26653 4 26740 1 26750 2 26842 1,small110.jpg_1
small110.jpg,2,5564 1 5662 4 5761 6 5860 7 5961 6 6061 6 6159 6 6259 5 6357 7 6458 8 6558 7 6658 1 15564 1 15662 4 15761 6 15860 7 15961 6 16061 6 16159 6 16259 5 16357 7 16458 8 16558 7 16658 1 25564 1 25662 4 25761 6 25860 7 25961 6 26061 6 26159 6 26259 5 26357 7 26458 8 26558 7 26658 1,small110.jpg_2
small111.jpg,1,3340 3 3344 4 3363 1 3450 11 3465 7 3538 1 3572 2 3637 1 3674 1 3737 1 3775 1 3837 1 3875 1 3937 1 3976 1 4076 1 4138 1 4176 2 4238 1 4276 2 4338 1 4376 2 4438 2 4476 2 4538 2 4576 2 4638 2 4676 2 4738 2 4776 2 4838 2 4876 2 4938 2 4976 2 5038 2 5076 1 5138 2 5176 1 5238 3 5276 1 5338 3 5375 2 5438 3 5475 1 5538 3 5575 1 5639 2 5675 1 5739 2 5839 2 5874 1 5939 2 5974 1 6039 1 6139 1 6173 1 6272 1 6338 1 6371 1 6438 1 6469 1 6538 1 6564 4 6638 1 6656 1 6739 1 6751 2 6840 1 6848 1 6942 4 13340 3 13344 4 13363 1 13450 11 13465 7 13538 1 13572 2 13637 1 13674 1 13737 1 13775 1 13837 1 13875 1 13937 1 13976 1 14076 1 14138 1 14176 2 14238 1 14276 2 14338 1 14376 2 14438 2 14476 2 14538 2 14576 2 14638 2 14676 2 14738 2 14776 2 14838 2 14876 2 14938 2 14976 2 15038 2 15076 1 15138 2 15176 1 15238 3 15276 1 15338 3 15375 2 15438 3 15475 1 15538 3 15575 1 15639 2 15675 1 15739 2 15839 2 15874 1 15939 2 15974 1 16039 1 16139 1 16173 1 16272 1 16338 1 16371 1 16438 1 16469 1 16538 1 16564 4 16638 1 16656 1 16739 1 16751 2 16840 1 16848 1 16942 4 23340 3 23344 4 23363 1 23450 11 23465 7 23538 1 23572 2 23637 1 23674 1 23737 1 23775 1 23837 1 23875 1 23937 1 23976 1 24076 1 24138 1 24176 2 24238 1 24276 2 24338 1 24376 2 24438 2 24476 2 24538 2 24576 2 24638 2 24676 2 24738 2 24776 2 24838 2 24876 2 24938 2 24976 2 25038 2 25076 1 25138 2 25176 1 25238 3 25276 1 25338 3 25375 2 25438 3 25475 1 25538 3 25575 1 25639 2 25675 1 25739 2 25839 2 25874 1 25939 2 25974 1 26039 1 26139 1 26173 1 26272 1 26338 1 26371 1 26438 1 26469 1 26538 1 26564 4 26638 1 26656 1 26739 1 26751 2 26840 1 26848 1 26942 4,small111.jpg_1
